,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,STATEMENT_TYPE,BANK_ID,CURR_ID,CATEGORY_TYPE,DATA_SOURCE,EXTRACTION_DATE,REPORT_DATE
99,Impairment losses on financial assets,-37.0,-32.0,2023-03-31,Treguesit-finanaciar-TM1-2023.pdf,11,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2023-03-31
100,Fitimi/(humbja) para tatimit / Profit/(loss) before taxation,-565.0,-259.0,2023-03-31,Treguesit-finanaciar-TM1-2023.pdf,14,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2023-03-31
101,Fitimi/(humbja) neto / Net profit/(loss),-510.0,-259.0,2023-03-31,Treguesit-finanaciar-TM1-2023.pdf,16,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2023-03-31
102,Total comprehensive income/(loss),-510.0,-259.0,2023-03-31,Treguesit-finanaciar-TM1-2023.pdf,19,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2023-03-31
103,Customer Deposits,101330.0,106634.0,2025-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2025.pdf,32,BALANCE_SHEET,12,1,BALANCE,PriBank,2026-03-18,2025-06-30
104,Other liabilities,1503.0,1845.0,2025-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2025.pdf,36,BALANCE_SHEET,12,1,BALANCE,PriBank,2026-03-18,2025-06-30
105,Customer Deposits,74325.0,86733.0,2024-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2024.pdf,32,BALANCE_SHEET,12,1,BALANCE,PriBank,2026-03-18,2024-09-30
106,Other liabilities,2136.0,2175.0,2024-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2024.pdf,36,BALANCE_SHEET,12,1,BALANCE,PriBank,2026-03-18,2024-09-30
107,Customer Deposits,66997.0,74325.0,2024-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2024.pdf,32,BALANCE_SHEET,12,1,BALANCE,PriBank,2026-03-18,2024-06-30
108,Other liabilities,1227.0,2136.0,2024-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2024.pdf,36,BALANCE_SHEET,12,1,BALANCE,PriBank,2026-03-18,2024-06-30
109,Customer Deposits,125064.0,137291.0,2025-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2025.pdf,32,BALANCE_SHEET,12,1,BALANCE,PriBank,2026-03-18,2025-12-31
110,Other liabilities,1686.0,2004.0,2025-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2025.pdf,36,BALANCE_SHEET,12,1,BALANCE,PriBank,2026-03-18,2025-12-31
111,Customer Deposits,86733.0,104330.0,2024-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2024.pdf,32,BALANCE_SHEET,12,1,BALANCE,PriBank,2026-03-18,2024-12-31
112,Other liabilities,2175.0,1950.0,2024-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2024.pdf,36,BALANCE_SHEET,12,1,BALANCE,PriBank,2026-03-18,2024-12-31
113,Customer Deposits,104330.0,101330.0,2025-03-31,Bilanci-dhe-Treguesit-financiar-TM1-2025.pdf,32,BALANCE_SHEET,12,1,BALANCE,PriBank,2026-03-18,2025-03-31
114,Other liabilities,1946.0,1503.0,2025-03-31,Bilanci-dhe-Treguesit-financiar-TM1-2025.pdf,36,BALANCE_SHEET,12,1,BALANCE,PriBank,2026-03-18,2025-03-31
115,Customer Deposits,106634.0,125064.0,2025-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2025-2.pdf,32,BALANCE_SHEET,12,1,BALANCE,PriBank,2026-03-18,2025-09-30
116,Other liabilities,1845.0,1686.0,2025-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2025-2.pdf,36,BALANCE_SHEET,12,1,BALANCE,PriBank,2026-03-18,2025-09-30
